pdpass,invnum_n,"dateincorporated",yearStartup
10976208,48762082,"1986-04-01",1986
12244341,48767125,"1993-11-15",1993
12653255,48774011,"2000-03-13",2000
12926210,48782193,"1998-09-17",1998
12161512,48782401,"1995-03-21",1995
12866450,48797472,"2002-04-11",2002
13039365,48804264,"2002-08-20",2002
13241378,48809592,"2003-04-17",2003
11788415,48817111,"1995-11-02",1995
11782236,48819542,"1993-10-01",1993
11738430,48824753,"1993-04-27",1993
11187883,48829831,"1987-08-24",1987
11447519,48841233,"1989-11-17",1989
11917082,48853632,"1994-04-21",1994
13072464,48856232,"2002-01-30",2002
12873347,48857245,"2000-06-29",2000
11068300,48880091,"1987-06-04",1987
10860845,48908981,"1986-02-14",1986
11625868,48917941,"1992-01-16",1992
11372769,48932421,"1989-11-13",1989
12777978,48933264,"1994-06-15",1994
12245387,48946212,"1998-05-15",1998
11958182,48947401,"1996-12-24",1996
10929422,48962832,"1985-12-17",1985
12066330,48975641,"1996-01-03",1996
12521037,48975641,"1998-11-20",1998
13128897,48983912,"2001-05-11",2001
11763645,48991091,"1990-02-13",1990
11763645,48991092,"1990-02-13",1990
11859564,49022721,"1990-08-06",1990
11500470,49052132,"1992-11-25",1992
13223989,49052132,"2004-01-02",2004
10949702,49052961,"1987-01-22",1987
12713059,49073323,"1997-08-04",1997
12233315,49083781,"1993-03-11",1993
11782448,49105392,"1994-11-01",1994
11574170,49132641,"1994-05-02",1994
12656508,49140552,"1996-01-11",1996
13092909,49140552,"1989-08-03",1989
11034590,49152902,"1984-09-17",1984
12417982,49157091,"1996-05-14",1996
13051819,49157441,"2002-12-09",2002
11161036,49174541,"1988-07-18",1988
12290260,49192931,"1998-09-09",1998
12060024,49225001,"1997-11-12",1997
12281717,49225001,"1998-07-29",1998
12427287,49225001,"1998-07-29",1998
11023442,49234423,"1988-09-07",1988
11770563,49261901,"1991-09-25",1991
12799840,49274083,"1999-10-14",1999
11770563,49278991,"1991-09-25",1991
12652591,49281063,"2000-09-29",2000
11600640,49298491,"1994-08-12",1994
12790802,49308352,"1986-08-29",1986
12198882,49338724,"1995-03-08",1995
13056210,49369501,"1996-11-18",1996
13156679,49369631,"2000-05-08",2000
12714953,49394742,"2000-01-19",2000
10929422,49396383,"1985-12-17",1985
12916628,49396892,"1999-12-17",1999
12885344,49403032,"1998-12-02",1998
12151038,49408582,"1994-01-10",1994
12397666,49411163,"1999-09-27",1999
11658403,49431092,"1989-04-28",1989
13043729,49439801,"2003-02-10",2003
11062806,49483182,"1989-01-03",1989
